HomeTeam,AwayTeam,HomeScore,AwayScore
Gloucester Rugby,Exeter Chiefs,28,21
Newcastle Falcons,Worcester Warriors,35,8
Saracens,Northampton Saints,55,24
Wasps,Sale Sharks,50,35
London Irish,Harlequins,39,29
Leicester Tigers,Bath Rugby,23,27
Sale Sharks,Newcastle Falcons,12,13
Bath Rugby,Saracens,31,21
Exeter Chiefs,London Irish,37,7
Harlequins,Gloucester Rugby,28,17
Northampton Saints,Leicester Tigers,24,11
Worcester Warriors,Wasps,10,24
Northampton Saints,Bath Rugby,24,6
Worcester Warriors,Exeter Chiefs,10,41
Sale Sharks,London Irish,36,7
Leicester Tigers,Gloucester Rugby,24,10
Newcastle Falcons,Saracens,7,29
Wasps,Harlequins,21,24
Gloucester Rugby,Worcester Warriors,24,19
Bath Rugby,Newcastle Falcons,32,33
Harlequins,Leicester Tigers,28,31
Saracens,Sale Sharks,41,13
Exeter Chiefs,Wasps,31,17
London Irish,Northampton Saints,25,40
Newcastle Falcons,London Irish,29,17
Worcester Warriors,Saracens,3,25
Sale Sharks,Gloucester Rugby,57,10
Leicester Tigers,Exeter Chiefs,20,13
Northampton Saints,Harlequins,30,22
Wasps,Bath Rugby,9,25
Harlequins,Sale Sharks,42,26
Bath Rugby,Worcester Warriors,29,13
Exeter Chiefs,Newcastle Falcons,34,24
Gloucester Rugby,Northampton Saints,29,24
London Irish,Leicester Tigers,27,28
Saracens,Wasps,38,19
Sale Sharks,Exeter Chiefs,6,10
Harlequins,Worcester Warriors,41,35
Northampton Saints,Wasps,22,38
Saracens,London Irish,44,13
Bath Rugby,Gloucester Rugby,21,22
Newcastle Falcons,Leicester Tigers,13,30
Gloucester Rugby,Saracens,23,17
Worcester Warriors,Northampton Saints,30,15
Wasps,Newcastle Falcons,40,10
Exeter Chiefs,Harlequins,31,17
Leicester Tigers,Sale Sharks,35,27
London Irish,Bath Rugby,18,22
Newcastle Falcons,Gloucester Rugby,7,29
Bath Rugby,Harlequins,38,14
Leicester Tigers,Worcester Warriors,27,31
Sale Sharks,Northampton Saints,18,15
London Irish,Wasps,13,17
Saracens,Exeter Chiefs,18,20
Northampton Saints,Newcastle Falcons,22,24
Worcester Warriors,Sale Sharks,14,18
Exeter Chiefs,Bath Rugby,42,29
Gloucester Rugby,London Irish,39,15
Wasps,Leicester Tigers,32,25
Harlequins,Saracens,20,19
Worcester Warriors,London Irish,23,8
Newcastle Falcons,Harlequins,11,10
Northampton Saints,Exeter Chiefs,14,35
Sale Sharks,Bath Rugby,32,9
Wasps,Gloucester Rugby,49,24
Leicester Tigers,Saracens,17,29
Bath Rugby,Wasps,26,31
Gloucester Rugby,Sale Sharks,20,16
London Irish,Newcastle Falcons,15,20
Saracens,Worcester Warriors,46,31
Harlequins,Northampton Saints,50,21
Exeter Chiefs,Leicester Tigers,30,6
Worcester Warriors,Bath Rugby,25,46
Leicester Tigers,London Irish,19,15
Northampton Saints,Gloucester Rugby,22,19
Sale Sharks,Harlequins,30,29
Newcastle Falcons,Exeter Chiefs,28,20
Wasps,Saracens,15,38
Bath Rugby,Northampton Saints,32,9
Exeter Chiefs,Worcester Warriors,5,6
Gloucester Rugby,Leicester Tigers,24,17
Saracens,Newcastle Falcons,25,3
London Irish,Sale Sharks,9,13
Harlequins,Wasps,22,44
Newcastle Falcons,Bath Rugby,29,12
Sale Sharks,Saracens,3,13
Leicester Tigers,Harlequins,33,18
Northampton Saints,London Irish,25,17
Worcester Warriors,Gloucester Rugby,25,15
Wasps,Exeter Chiefs,13,7
Exeter Chiefs,Northampton Saints,31,30
Bath Rugby,Sale Sharks,33,32
Gloucester Rugby,Wasps,25,25
Harlequins,Newcastle Falcons,10,28
London Irish,Worcester Warriors,22,9
Saracens,Leicester Tigers,20,28
Gloucester Rugby,Newcastle Falcons,20,21
Northampton Saints,Sale Sharks,25,34
Exeter Chiefs,Saracens,24,12
Harlequins,Bath Rugby,20,5
Wasps,London Irish,24,16
Worcester Warriors,Leicester Tigers,5,34
Bath Rugby,Exeter Chiefs,18,20
London Irish,Gloucester Rugby,29,33
Sale Sharks,Worcester Warriors,58,25
Saracens,Harlequins,24,11
Newcastle Falcons,Northampton Saints,25,22
Leicester Tigers,Wasps,16,15
Sale Sharks,Wasps,28,27
Bath Rugby,Leicester Tigers,19,34
Northampton Saints,Saracens,13,63
Harlequins,London Irish,5,35
Worcester Warriors,Newcastle Falcons,27,13
Exeter Chiefs,Gloucester Rugby,46,10
Newcastle Falcons,Sale Sharks,35,30
Gloucester Rugby,Harlequins,37,9
Leicester Tigers,Northampton Saints,21,27
Wasps,Worcester Warriors,30,15
London Irish,Exeter Chiefs,5,45
Saracens,Bath Rugby,41,6
Leicester Tigers,Newcastle Falcons,23,25
Exeter Chiefs,Sale Sharks,34,19
Gloucester Rugby,Bath Rugby,20,43
Worcester Warriors,Harlequins,44,13
London Irish,Saracens,14,51
Wasps,Northampton Saints,36,29
Bath Rugby,London Irish,63,19
Harlequins,Exeter Chiefs,17,41
Newcastle Falcons,Wasps,22,39
Northampton Saints,Worcester Warriors,32,24
Sale Sharks,Leicester Tigers,13,35
Saracens,Gloucester Rugby,62,12
Saracens,Wasps,57,33
Exeter Chiefs,Newcastle Falcons,36,5
Exeter Chiefs,Saracens,10,27
